Referral ID,Date Introduced,Partner Name,Partner Type,Client Name,Client Company,Client Vertical,Project Value,15% Fee Amount,Fee Status,Fee Payment Date,Notes
REF-001,2026-03-10,[Partner Name],[Web Agency / MSP / CPA / Coach],[Client First Last],[Client Company],Law Firm / Medical / Contractor / Other,$0.00,$0.00,Pending / Paid / N/A,,
REF-002,,,,,,,,,,,
REF-003,,,,,,,,,,,
REF-004,,,,,,,,,,,
REF-005,,,,,,,,,,,
REF-006,,,,,,,,,,,
REF-007,,,,,,,,,,,
REF-008,,,,,,,,,,,
REF-009,,,,,,,,,,,
REF-010,,,,,,,,,,,
